date,num_transactions,total_eth_staked,avg_stake_size,min_stake_size,max_stake_size,total_gas_cost,avg_gas_cost,num_standard_stakes,pct_standard_stakes
2025-03-09,6,192.0,32.0,32.0,32.0,0.000583196493658944,9.719941560982401e-05,6,100.0
2025-03-08,94,3008.0,32.0,32.0,32.0,0.007922832899518421,8.428545637785555e-05,94,100.0
